,class
858,2
14658,1
9910,1
3544,0
12346,2
11262,1
7085,1
2222,1
1791,1
102,1
3030,1
1273,2
13028,1
5887,2
267,0
1069,1
3081,1
9892,1
14880,1
13744,1
11258,1
12590,1
6035,1
3654,1
2416,1
5912,2
465,1
10459,1
10397,1
2819,0
3579,1
12750,1
6069,2
1510,2
6872,2
9393,0
5896,1
6630,1
6132,1
11113,1
16560,2
1283,1
7299,1
2556,2
3273,1
10193,1
8498,1
16037,0
1676,1
16032,1
1514,2
9551,1
10051,1
7336,1
16160,1
134,2
5389,1
6868,1
3038,1
6566,1
736,1
7240,2
9006,1
5601,1
1398,0
8485,1
3405,1
11958,2
816,1
9327,1
11730,1
6375,1
2045,1
6862,1
1163,1
151,1
5017,1
12396,1
11452,1
15545,2
171,1
6249,1
8977,1
16463,2
2719,1
11552,1
14520,1
10547,1
3835,1
2567,1
3378,1
325,1
12464,1
13301,1
2822,1
13349,1
13895,1
8720,2
7846,1
5550,1
11040,1
6883,2
9315,1
802,1
9826,1
9729,0
10705,1
2002,2
5313,1
3437,2
5356,1
7504,1
5628,1
2964,2
3959,1
3195,1
16101,1
1161,1
9155,1
7394,1
12134,1
2528,2
10677,2
16138,1
7705,2
1268,1
7269,1
3910,2
11991,1
15352,1
15834,2
67,1
8378,1
12141,1
2794,1
3441,2
7072,1
3187,1
3505,1
6717,2
14095,1
13593,1
11884,1
3108,2
1431,2
8750,1
3599,0
333,2
4059,1
2033,2
3352,1
2797,2
153,0
13082,1
10864,2
7985,2
12381,1
1747,1
6060,1
9709,1
1585,2
9762,2
3158,1
5156,2
7816,1
11282,1
267,2
1278,1
9898,2
13769,1
1043,1
11798,1
5392,1
7460,1
10579,1
10035,2
13288,1
8369,2
6226,0
2452,1
11592,1
11599,1
8887,1
6009,1
7634,2
1237,1
14890,1
2335,1
5778,2
1745,1
8827,2
9013,1
2788,2
1441,1
1693,1
686,1
12543,1
1995,1
13175,1
13635,1
2332,1
1681,2
8519,2
432,1
14310,1
15049,1
3400,1
6864,1
5806,2
13259,1
9195,1
16222,1
5861,1
13944,1
738,1
12532,2
2352,2
11849,1
9280,1
745,1
9427,1
10937,1
1170,1
13563,2
