,norm
5687,1
2860,2
2608,2
1386,1
1321,2
811,2
2677,1
6254,2
4393,0
3394,0
4598,2
5835,2
5585,2
1815,1
6333,1
3303,2
6347,2
32,1
6735,2
2492,2
7758,1
5367,2
1603,2
1728,1
6315,2
433,2
2347,2
4407,2
9628,0
1454,1
7015,0
7159,2
2743,0
5557,2
6394,2
7034,2
4562,2
2068,2
6932,2
4049,2
5474,1
6184,0
8087,2
175,2
749,2
7941,1
9112,2
1089,2
2459,2
7108,2
2116,2
72,1
4641,2
1183,2
3948,1
808,2
5778,2
9213,2
7048,2
3953,2
2578,2
4550,2
7044,0
1278,2
9954,2
1426,2
1459,1
4219,2
8169,2
920,1
1040,0
3233,2
1853,2
1083,1
58,1
9791,1
6974,2
34,2
2620,2
1698,1
986,2
4073,2
452,2
5048,2
4257,2
3922,1
2887,2
2508,1
8075,2
2779,2
2515,0
4736,2
1046,2
7013,2
5326,0
2927,2
3134,2
3071,2
262,2
1014,1
10096,2
2818,2
5182,1
954,0
2770,2
10088,2
22,2
6588,1
2799,1
2899,1
4045,0
1300,0
6099,1
10246,0
7783,2
2353,2
9351,2
1667,2
3318,2
7490,2
1038,2
1901,1
2974,1
7076,2
2478,2
1468,2
2461,2
9952,2
6088,2
8369,2
1375,0
2241,2
61,2
1843,0
502,2
8125,2
827,2
4836,2
102,1
2321,2
5105,2
7539,2
1029,2
8670,2
1380,2
5435,2
9218,2
7396,2
10158,2
2998,0
14,2
8816,1
9800,2
1604,2
6313,1
7079,2
8531,1
7770,2
2217,0
2076,2
2299,2
3736,2
1354,2
8449,2
2712,2
2554,2
1204,2
675,1
3329,2
1358,2
7209,2
2471,2
1648,2
2748,2
2041,2
7605,1
25,2
9849,1
3725,1
225,1
246,0
4870,2
985,1
7983,2
7115,2
8074,2
6392,1
2707,2
868,1
1420,2
5577,1
3381,2
1190,2
1583,2
80,2
289,2
1758,2
7246,2
5061,0
7137,2
6723,2
248,2
9414,2
5409,2
3876,2
977,1
5641,2
1455,0
2783,1
8886,2
3779,2
2551,1
9472,2
7575,2
5122,2
1896,2
5321,1
4615,2
4696,2
5222,2
2724,2
7589,0
2325,2
1703,2
10029,0
4675,2
7727,2
4018,2
3296,2
8690,2
908,2
8098,1
8511,2
5954,1
379,2
7828,1
2283,2
1239,2
3258,1
3726,2
9513,1
1090,2
260,1
3400,1
8653,2
5615,2
7310,2
3814,1
1296,1
10098,0
5177,1
643,1
2728,2
6141,2
1432,1
7150,0
1910,2
7223,2
4176,1
2529,2
7277,2
1362,2
1855,0
332,2
484,2
9967,2
2532,2
8995,2
6188,2
8227,2
6314,2
3220,1
6352,1
7736,2
2280,2
8960,2
1490,2
2942,2
2374,2
1013,2
9723,2
1976,1
3120,2
8506,0
2944,2
3078,2
4334,2
1475,2
724,2
8418,0
5847,2
4566,2
1527,1
9238,0
940,2
4747,2
6257,2
87,2
2681,2
3433,0
3362,2
2368,2
10308,0
8611,0
1771,2
9232,2
8700,2
6084,2
1043,2
1511,2
1008,2
976,0
6303,1
1080,1
8297,2
3977,2
2093,2
7475,1
684,2
9247,2
4996,2
4360,1
2137,1
7559,2
6068,2
9409,2
4810,2
128,2
406,2
3182,1
8020,1
7802,2
1348,2
497,2
4586,0
1267,1
2449,0
9001,2
9724,1
1742,1
2034,2
566,2
1101,0
2450,2
1667,0
8720,2
8,2
5340,0
6868,2
4252,1
1451,2
9023,2
1547,2
2488,2
4939,1
9480,0
851,2
1633,2
2779,1
413,2
126,2
8496,1
1011,2
6913,1
1483,0
5957,2
3575,2
111,2
3344,2
2480,2
2657,2
7322,2
1416,2
2595,1
6528,0
2810,2
1681,2
4016,2
1889,1
3732,2
677,2
2162,2
5794,1
942,2
1076,0
9165,2
7687,2
1501,0
1398,2
1108,2
3129,2
9138,1
9428,2
288,2
313,2
9064,2
2546,0
2419,2
5806,2
1709,2
8719,2
672,2
2143,2
8938,2
7635,2
825,2
8116,2
5260,2
1104,1
7022,0
5419,1
4732,2
5268,2
8776,1
3225,2
909,2
7980,1
7144,2
9482,2
3655,2
3192,2
3214,2
6168,1
5683,2
212,2
1076,2
432,1
2567,1
7570,0
2681,2
5748,0
6399,0
7234,2
9825,0
1216,2
2005,2
1238,2
7755,2
9433,1
230,1
3250,1
8132,2
4683,1
1630,2
2554,0
4746,0
150,0
8624,2
1004,1
191,2
9011,1
2648,2
1856,2
2609,2
3826,1
219,2
10010,2
8062,2
1554,2
1103,2
1365,1
2069,2
8199,2
269,2
6335,2
9141,2
2429,2
3301,1
4609,2
160,1
3567,1
3322,2
9065,2
9956,2
6610,2
395,1
8755,2
7961,2
2373,2
7093,2
8323,2
6731,1
1035,2
1425,2
2690,1
1567,2
6787,1
2078,2
5189,1
7434,2
4356,2
898,1
1911,2
3005,2
2318,2
2535,2
7002,1
4935,1
459,2
333,2
5382,1
3299,2
2521,2
1581,1
6495,2
441,1
9832,2
7226,1
2754,2
1690,1
2278,2
2837,1
5699,2
2175,0
2628,2
9205,2
2463,2
1525,2
9175,2
8490,2
6873,2
7925,2
9727,2
1849,2
5760,1
1132,0
8514,2
1499,2
947,1
2892,2
2557,2
3423,2
2557,2
1481,0
9965,2
9392,0
2257,0
4478,2
1146,2
2238,2
708,2
2530,2
6685,2
1288,0
5654,2
1779,0
3024,2
8314,2
2395,2
2830,2
6359,2
2009,1
9437,2
4242,2
8120,2
5084,1
2740,1
1834,2
9304,2
8096,2
2476,2
9846,2
1930,2
1729,1
2518,2
677,2
4869,0
2432,0
936,1
5455,1
1746,2
738,2
7061,2
27,2
1734,2
2028,2
4306,1
1848,2
1905,2
1275,2
4326,2
7571,0
9444,2
4087,2
1215,2
486,2
8456,2
8376,2
2154,0
3902,2
8550,2
139,2
1998,1
9078,2
330,2
8620,2
921,2
5894,2
5597,2
1637,1
8206,2
455,1
7129,2
5439,2
2428,2
9638,2
1177,2
1236,0
8789,0
3758,2
2476,2
9157,2
7880,2
276,2
2348,2
2422,1
6724,2
1695,2
5624,2
805,2
1678,0
148,2
6592,2
2234,2
7841,2
8922,2
5621,2
10225,0
4766,2
3011,2
6602,2
4233,2
9387,1
842,1
5127,2
2800,2
8437,2
