,class
4603,1
922,0
1698,1
2768,1
10435,0
2222,1
9239,2
9618,1
3163,1
2220,2
2526,2
8833,1
10091,0
3937,1
18827,1
1981,1
2872,1
6849,0
1776,1
6592,1
275,2
4277,1
3134,1
2089,2
2672,1
4846,1
3866,0
10766,1
9909,2
10457,1
895,1
9146,1
3698,1
8793,1
7920,1
4769,2
3622,0
3859,1
3129,1
7977,1
3326,0
18446,0
1663,0
4497,2
4705,1
2420,1
20181,1
2335,1
20151,0
2294,0
4278,1
7195,0
1221,1
333,1
1701,1
18521,1
5972,1
11677,1
10587,1
1001,1
1218,1
4528,1
20003,1
8356,1
1630,1
7701,1
3856,1
18384,0
6868,0
268,2
3103,1
4128,0
50,1
18226,0
2017,0
128,0
480,1
4277,1
2029,1
2159,0
7492,2
7862,1
8411,2
3414,0
20182,1
168,2
6341,1
20104,1
2488,1
4940,0
3499,1
1703,2
3527,1
2413,1
4309,1
4138,2
1280,1
3311,2
19620,2
1713,1
3859,0
1921,1
1454,0
7050,1
4528,1
4640,2
404,1
3875,0
682,1
1196,0
2832,1
11107,1
8103,1
2350,0
4222,2
8907,1
6793,1
19598,1
9034,1
9105,0
722,1
3123,1
9942,1
3817,0
10161,1
11439,1
3710,2
18581,1
18168,1
2655,0
10769,2
10724,1
9018,1
3183,1
4029,0
11630,0
67,1
19097,1
2588,0
1556,2
4196,1
1259,0
1179,1
2817,0
636,1
1110,1
29,1
2754,0
5789,0
191,0
20138,1
8695,1
2143,1
3001,0
4864,1
11736,0
4404,1
3310,2
1722,1
19591,1
5516,1
2378,1
6893,1
8074,1
3514,1
4825,1
9663,1
1037,0
544,1
2604,0
6838,1
18618,1
19681,1
10570,1
7607,2
10202,1
6047,1
2607,1
865,1
3593,0
3678,1
5254,1
3383,1
4212,1
9899,0
4353,1
632,1
11811,1
2534,0
3614,2
1632,2
2296,0
7484,1
2683,0
4463,1
2317,1
4755,1
7708,1
18970,0
11143,1
1769,1
9086,2
9236,1
1256,1
3657,1
10298,1
8066,1
19425,1
4369,2
544,2
310,1
9309,1
2503,2
3105,0
4804,0
7646,1
7009,1
3867,1
11221,1
8429,1
10225,1
11566,0
2802,1
947,2
1012,1
19687,1
3328,0
9838,0
3187,0
20106,2
19866,1
4500,1
7387,1
4896,1
2345,1
470,1
4485,1
2845,1
1003,1
4964,0
2104,2
1540,0
3351,1
1073,1
10011,2
2988,0
2549,1
1387,0
19117,1
5263,2
7524,1
6813,1
5090,1
11066,1
6726,1
8277,1
3113,2
3723,1
6011,1
2708,0
526,1
3142,0
18943,1
1613,2
10234,1
3338,1
341,1
2901,0
9181,0
3677,1
4931,2
6745,1
4736,1
3338,0
18326,1
9603,1
1824,1
315,1
2874,0
9602,1
2649,1
1827,1
9971,1
3625,1
1519,1
4525,1
1274,0
949,1
2376,1
8700,1
3811,1
4965,1
4252,1
553,2
4091,1
2198,1
3517,0
1714,0
3583,1
4044,1
142,1
9947,1
1207,0
3352,1
1474,1
11532,1
7671,1
14,0
8330,1
3986,1
5087,0
11541,1
11308,0
18957,0
3185,0
2999,0
11694,0
3016,2
19422,1
3872,1
7209,2
3665,2
2435,0
18992,0
4963,1
8640,1
3653,1
18376,1
4185,1
11920,1
3344,1
3395,1
2008,1
10433,1
1242,1
9562,0
3258,2
847,1
524,1
1740,1
139,0
10783,1
7647,2
1016,0
10684,1
11218,0
7284,2
19505,1
4464,1
1909,0
2241,0
607,0
1403,0
1830,0
1758,0
719,1
8504,1
1847,1
11101,1
6590,1
3475,1
375,2
4574,0
4173,2
10291,0
4924,0
7508,2
3837,1
3958,1
5667,1
2208,0
7125,1
3864,1
7635,1
1670,1
3679,0
4865,1
3003,2
793,1
18903,0
19998,0
8256,1
4320,1
330,1
3113,2
3533,1
18543,2
2173,0
4361,1
10827,0
4309,1
4358,1
5173,1
11625,1
1216,1
1671,2
3447,1
659,2
6889,1
8240,1
18973,1
2646,1
1228,0
360,1
4276,1
3438,1
1891,2
5364,1
18214,1
4532,1
9005,1
8133,0
20152,1
6349,1
4758,1
7578,2
9064,2
7228,1
783,1
175,2
6411,0
1840,1
3625,1
10956,1
2760,1
5845,1
18331,1
910,1
239,0
1523,1
18433,0
18677,1
10264,1
19720,2
494,1
9068,1
3860,1
981,1
6286,1
2680,2
6946,1
1284,1
118,0
4375,0
4366,2
1260,1
6037,1
2309,2
4814,2
5431,1
1117,1
182,1
1637,1
989,0
11701,2
994,1
18882,0
18316,1
3878,0
2967,1
7281,2
4547,0
2299,1
1286,1
4808,0
7291,1
1918,1
1065,1
19713,1
20129,1
4100,2
3936,2
8950,1
4075,1
859,0
2438,1
1036,0
6694,1
10926,1
3863,1
789,1
1691,0
1382,1
250,1
8321,1
11770,2
2888,1
43,2
3977,1
11384,1
18926,1
3063,1
3261,1
6846,1
5847,0
3798,1
788,1
10812,2
18312,2
2947,2
2051,1
3305,1
3531,1
3207,1
4065,2
2887,1
9301,0
1371,0
4744,1
7276,1
1673,1
8387,1
5692,0
4382,1
3051,2
7897,1
10768,1
1401,2
11644,1
18339,1
19541,1
1471,1
213,2
4149,1
1698,2
4952,2
2003,1
2505,1
1787,0
4955,1
11471,0
